id;name;color;price
1;Стальной;оранжевый;вычисление кросс-платформенный Центральный
2;wireless Автомобиль;голубой;Областной Pound withdrawal
3;deposit ул. Неодимовый;золотой;Metical Интеллектуальный
4;пл. переопределение;орхидный;Bedfordshire
5;Malagasy intranet;мятный;Australian
6;Business-focused;мятный;область
7;оранжевый Невероятный;сине-фиолетовый;distributed сине-фиолетовый SAS
8;Personal Стальной;багровый;intangible пр.
9;invoice;серебряный;De-engineered
10;Международный Грубый;голубой;Checking Account Renminbi
